거래금액,아파트,월,일,전용면적,층
12,000,정도한스빌,2,24,54.562,4
16,500,남경캐슬,3,2,84.635,2
12,500,부전베스트,3,7,84.75,3
22,300,한신,3,8,59.85,10
9,700,동보빌라,3,8,84.77,5
15,000,동산백조,3,9,71.61,2
13,700,동산백조,3,12,71.61,1
11,200,동보빌라,3,15,84.77,5
15,000,서린에코빌아파트,3,18,62.595,3
20,100,한신,3,18,59.85,14
28,400,한신,3,19,84.985,7
19,900,한신,3,23,59.85,22
18,600,한신,3,23,59.85,3
19,400,한신,3,25,59.85,23
19,100,대진로얄,3,30,82.93,5
34,000,부산기장포스코더샵,3,31,84.9056,19
16,400,태영,3,3,59.75,15
17,200,태영,3,4,59.75,18
33,000,이진캐스빌블루2차,3,4,68.6835,2
25,000,태영,3,4,84.975,10
17,400,태영,3,5,59.75,14
17,400,태영,3,5,59.75,14
16,500,태영,3,5,59.75,3
19,800,가화만사성,3,7,59.9869,12
16,700,태영,3,10,59.75,5
13,250,문화그린맨션,3,17,59.91,11
9,500,욱일,3,18,68.03,4
12,450,부전타워,3,23,59.38,4
12,800,문화그린맨션,3,23,59.91,9
46,800,이진캐스빌블루1차,3,24,84.9005,15
16,800,가화만사성,3,24,53.4307,6
17,650,부전타워,3,26,83.36,1
26,000,태영,3,28,84.975,13
14,000,부전타워,3,29,59.38,7
25,500,태영,3,30,84.975,20
11,900,이진테마빌,3,3,51.2689,2
22,800,서부주공,3,4,59.92,10
22,800,서부주공,3,4,59.92,10
17,800,서부주공,3,7,46.2,5
12,000,이진테마빌,3,7,59.0604,1
14,800,이진테마빌,3,12,59.0604,20
11,500,이진테마빌,3,19,51.2689,19
21,500,서부주공,3,22,59.92,11
14,000,이진테마빌,3,23,59.0604,7
21,500,서부주공,3,30,59.83,4
23,000,서부주공,3,31,59.92,11
14,000,이진테마빌,3,31,59.0604,10
32,000,이진캐스빌골드,3,1,84.5689,4
16,500,테마파크빌3차,3,2,84.05,5
26,500,에이원더시티,3,2,70.4539,4
18,300,이진캐스빌,3,3,59.91,10
23,500,월가아델리스,3,5,67.0754,7
23,500,월가아델리스,3,5,67.0754,7
21,000,이진캐스빌,3,5,59.91,17
22,500,에스디빌라트,3,7,58.5413,7
18,500,삼협아띠랑스,3,8,59.695,10
32,500,이진캐스빌골드,3,16,84.5689,10
19,000,이진캐스빌,3,19,59.91,10
19,500,에이원더시티,3,19,49.0978,6
8,300,금강궁전,3,21,47.07,8
15,400,동국에버리치,3,23,63.38,7
16,300,대라주공,3,23,39.72,2
24,300,월가아델리스,3,23,69.8359,14
16,500,대라주공,3,26,39.72,4
21,500,씨엘늘채움,3,28,78.0341,6
13,000,대동레미안센트럴시티,3,7,46.48,9
22,000,청강주공,3,10,39.69,4
13,200,씨앤스타빌,3,15,49.96,8
18,700,비룡벨로스텔라,3,21,62.55,11
12,700,씨앤스타빌,3,21,49.96,10
22,500,청강주공,3,22,39.3,2
12,900,씨앤스타빌,3,25,49.96,12
10,000,씨앤스타빌,3,25,49.96,8
31,000,경보그랜드비치,3,3,59.9295,18
71,500,동부산관광단지삼정그린코아더베스트,3,9,84.9887,11
31,700,정관가화만사성더테라스2차,3,5,60.1758,3
43,000,정관가화만사성더테라스2차,3,7,60.1758,6
